# ----------------------------------------
# 1 Master View
# New Custom Report
# 20190113-20200113
# ----------------------------------------

Region,City,Sessions
Ohio,New Carlisle,3
Ohio,Newcomerstown,3
Ohio,Olmsted Falls,3
Ohio,Orrville,3
Ohio,Sabina,3
Ohio,Saint Marys,3
Ohio,Sunbury,3
Ohio,Upper Sandusky,3
Ohio,Wheelersburg,3
Ohio,Indian Hill,3
Ohio,Lyndhurst,3
Ohio,Madeira,3
Ohio,Reading,3
Ohio,Seven Hills,3
Ohio,Warrensville Heights,3
Ohio,Wetherington,3
Ohio,Worthington,3
Oklahoma,Bethany,3
Oklahoma,Glenpool,3
Oklahoma,Purcell,3
Oklahoma,Sallisaw,3
Oklahoma,Sulphur,3
Oklahoma,Elgin,3
Oklahoma,Tuttle,3
Oregon,Baker City,3
Oregon,Clackamas,3
Oregon,Molalla,3
Oregon,Philomath,3
Oregon,Prineville,3
Oregon,Silverton,3
Oregon,Oak Grove,3
Pennsylvania,Ambler,3
Pennsylvania,Bradford,3
Pennsylvania,California,3
Pennsylvania,Cornwall,3
Pennsylvania,Corry,3
Pennsylvania,Croydon,3
Pennsylvania,DuBois,3
Pennsylvania,Ebensburg,3
Pennsylvania,Ellwood City,3
Pennsylvania,Fairless Hills,3
Pennsylvania,Gastonville,3
Pennsylvania,Girard,3
Pennsylvania,Glenmoore,3
Pennsylvania,Glenolden,3
Pennsylvania,Grantville,3
Pennsylvania,Hatfield,3
Pennsylvania,Hollidaysburg,3
Pennsylvania,Line Lexington,3
Pennsylvania,Lock Haven,3
Pennsylvania,Mansfield,3
Pennsylvania,Morgan,3
Pennsylvania,Moscow,3
Pennsylvania,New Holland,3
Pennsylvania,Oil City,3
Pennsylvania,Quarryville,3
Pennsylvania,Richboro,3
Pennsylvania,Scottdale,3
Pennsylvania,Slatington,3
Pennsylvania,Wallaceton,3
Pennsylvania,Wernersville,3
Pennsylvania,Brentwood,3
Pennsylvania,Conneaut Lakeshore,3
Pennsylvania,Laureldale,3
Pennsylvania,Leacock-Leola-Bareville,3
Pennsylvania,Lima,3
Pennsylvania,McGovern,3
Pennsylvania,Meridian,3
Pennsylvania,Mount Wolf,3
Pennsylvania,Northwest Harborcreek,3
Pennsylvania,Pottsgrove,3
Pennsylvania,Schlusser,3
Pennsylvania,Weigelstown,3
Pennsylvania,White Haven,3
Pennsylvania,White Oak,3
Rhode Island,Jamestown,3
South Carolina,Clover,3
South Carolina,Denmark,3
South Carolina,Fountain Inn,3
South Carolina,Inman,3
South Carolina,Isle of Palms,3
South Carolina,Marion,3
South Carolina,Pawleys Island,3
South Carolina,Piedmont,3
South Carolina,Port Royal,3
South Carolina,Timmonsville,3
South Carolina,Union,3
South Carolina,Williamston,3
South Carolina,Springdale,3
South Dakota,Belle Fourche,3
South Dakota,Brandon,3
South Dakota,Milbank,3
Tennessee,Ashland City,3
Tennessee,Evensville,3
Tennessee,Jonesborough,3
Tennessee,LaFollette,3
Tennessee,Oakland,3
Tennessee,Paris,3
Tennessee,Powell,3
Tennessee,Pulaski,3
Tennessee,Ripley,3
Tennessee,Rogersville,3
Tennessee,Waverly,3
Tennessee,Westmoreland,3
Texas,Andrews,3
Texas,Azle,3
Texas,Big Sandy,3
Texas,Brenham,3
Texas,Brownwood,3
Texas,Carthage,3
Texas,Celina,3
Texas,Dilley,3
Texas,Fabens,3
Texas,Gilmer,3
Texas,Highlands,3
Texas,Kaufman,3
Texas,Lovelady,3
Texas,Muenster,3
Texas,Princeton,3
Texas,Round Mountain,3
Texas,Rusk,3
Texas,Seguin,3
Texas,Seminole,3
Texas,Universal City,3
Texas,Wharton,3
Texas,Whitney,3
Texas,Balch Springs,3
Texas,Greatwood,3
Texas,Lucas,3
Utah,Kamas,3
Utah,Moab,3
Utah,Bluffdale,3
Utah,Clinton,3
Utah,Pleasant View,3
Virginia,Altavista,3
Virginia,Amelia Court House,3
